y_true,y_pred
OnSite,OnSite
OnSite,OnSite
Remote,Remote
Hybrid,Hybrid
Remote,Hybrid
OnSite,OnSite
Hybrid,Remote
Remote,Remote
Hybrid,Hybrid
Remote,Remote
Hybrid,Hybrid
OnSite,OnSite
Remote,Remote
OnSite,OnSite
OnSite,OnSite
OnSite,OnSite
OnSite,OnSite
Remote,Remote
OnSite,OnSite
Remote,Remote
Remote,Remote
Hybrid,Hybrid
Remote,Remote
Hybrid,Hybrid
OnSite,OnSite
OnSite,OnSite
Hybrid,Hybrid
OnSite,Hybrid
Remote,Remote
OnSite,OnSite
OnSite,OnSite
Hybrid,Hybrid
Hybrid,Hybrid
Remote,Remote
OnSite,OnSite
OnSite,Hybrid
OnSite,OnSite
Hybrid,Hybrid
Hybrid,Hybrid
OnSite,OnSite
Hybrid,OnSite
Remote,Remote
Remote,Remote
Remote,OnSite
Hybrid,Hybrid
OnSite,Hybrid
OnSite,OnSite
Remote,Remote
Remote,Remote
OnSite,OnSite
Hybrid,OnSite
Hybrid,Hybrid
OnSite,OnSite
OnSite,OnSite
OnSite,OnSite
Remote,Hybrid
OnSite,OnSite
Hybrid,Hybrid
Hybrid,Hybrid
Remote,Remote
OnSite,OnSite
Hybrid,Hybrid
OnSite,Hybrid
Hybrid,Hybrid
Remote,Remote
Remote,Remote
Remote,Remote
Hybrid,Hybrid
OnSite,OnSite
OnSite,OnSite
Hybrid,OnSite
OnSite,OnSite
OnSite,OnSite
Hybrid,Remote
OnSite,OnSite
Remote,Remote
OnSite,Hybrid
Remote,Remote
OnSite,OnSite
OnSite,OnSite
Hybrid,Hybrid
OnSite,OnSite
Hybrid,Hybrid
OnSite,OnSite
Remote,Remote
Hybrid,Hybrid
OnSite,OnSite
OnSite,OnSite
OnSite,OnSite
Hybrid,OnSite
Remote,Remote
OnSite,OnSite
OnSite,OnSite
Remote,Remote
OnSite,OnSite
Hybrid,Remote
OnSite,OnSite
OnSite,OnSite
OnSite,OnSite
